id	eventID	parentEventID	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	eventDate	eventTime	locationID	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision
BFSA:LTBCC:20041010:D2	BFSA:LTBCC:20041010:D2	BFSA:LTBCC:20041010	Total Count	20	hectare	50 observer-minutes	2004/10/10	09:10+0800	D2	23.1706	120.1108	WGS84	340	0.00001
BFSA:LTBCC:20041017:M1	BFSA:LTBCC:20041017:M1	BFSA:LTBCC:20041017	Total Count	98	hectare	60 observer-minutes	2004/10/17	13:00+0800	M1	23.0754	120.0487	WGS84	800	0.00001
BFSA:LTBCC:20041017:M2	BFSA:LTBCC:20041017:M2	BFSA:LTBCC:20041017	Total Count	83	hectare	20 observer-minutes	2004/10/17	14:10+0800	M2	23.068	120.0513	WGS84	750	0.00001
BFSA:LTBCC:20041017:J2	BFSA:LTBCC:20041017:J2	BFSA:LTBCC:20041017	Line Transect	150	metre	30 observer-minutes	2004/10/17	15:05+0800	J2	23.0856	120.0366	WGS84	75	0.00001
BFSA:LTBCC:20041017:J3	BFSA:LTBCC:20041017:J3	BFSA:LTBCC:20041017	Line Transect	450	metre	30 observer-minutes	2004/10/17	15:40+0800	J3	23.077	120.037	WGS84	200	0.00001
BFSA:LTBCC:20041017:E1	BFSA:LTBCC:20041017:E1	BFSA:LTBCC:20041017	Total Count	12	hectare	90 observer-minutes	2004/10/17	10:30+0800	E1	23.0755	120.067	WGS84	350	0.00001
BFSA:LTBCC:20041017:D1	BFSA:LTBCC:20041017:D1	BFSA:LTBCC:20041017	Total Count	20	hectare	40 observer-minutes	2004/10/17	08:30+0800	D1	23.1709	120.1148	WGS84	330	0.00001
BFSA:LTBCC:20041017:D2	BFSA:LTBCC:20041017:D2	BFSA:LTBCC:20041017	Total Count	20	hectare	50 observer-minutes	2004/10/17	09:10+0800	D2	23.1706	120.1108	WGS84	340	0.00001
BFSA:LTBCC:20041107:M1	BFSA:LTBCC:20041107:M1	BFSA:LTBCC:20041107	Total Count	98	hectare	60 observer-minutes	2004/11/7	15:00+0800	M1	23.0754	120.0487	WGS84	800	0.00001
BFSA:LTBCC:20041107:M2	BFSA:LTBCC:20041107:M2	BFSA:LTBCC:20041107	Total Count	83	hectare	20 observer-minutes	2004/11/7	16:10+0800	M2	23.068	120.0513	WGS84	750	0.00001
