trendEventID,occurrenceID,eventID
2011_M1,BFSA:LTBCC:20110625:0005,BFSA:LTBCC:20110625:M1
2011_M2,BFSA:LTBCC:20110625:0006,BFSA:LTBCC:20110625:M2
2011_M2,BFSA:LTBCC:20110625:0007,BFSA:LTBCC:20110625:M2
2011_M2,BFSA:LTBCC:20110625:0008,BFSA:LTBCC:20110625:M2
2011_M2,BFSA:LTBCC:20110625:0009,BFSA:LTBCC:20110625:M2
2011_J2,BFSA:LTBCC:20110625:0010,BFSA:LTBCC:20110625:J2
2011_J2,BFSA:LTBCC:20110625:0011,BFSA:LTBCC:20110625:J2
2011_J2,BFSA:LTBCC:20110625:0012,BFSA:LTBCC:20110625:J2
2011_J2,BFSA:LTBCC:20110625:0013,BFSA:LTBCC:20110625:J2
2011_J2,BFSA:LTBCC:20110625:0014,BFSA:LTBCC:20110625:J2
2011_J2,BFSA:LTBCC:20110625:0015,BFSA:LTBCC:20110625:J2
2011_J2,BFSA:LTBCC:20110625:0016,BFSA:LTBCC:20110625:J2
2011_J2,BFSA:LTBCC:20110625:0017,BFSA:LTBCC:20110625:J2
2011_J3,BFSA:LTBCC:20110625:0018,BFSA:LTBCC:20110625:J3
2011_J3,BFSA:LTBCC:20110625:0019,BFSA:LTBCC:20110625:J3
2011_J3,BFSA:LTBCC:20110625:0020,BFSA:LTBCC:20110625:J3
2011_J3,BFSA:LTBCC:20110625:0021,BFSA:LTBCC:20110625:J3
2011_J3,BFSA:LTBCC:20110625:0022,BFSA:LTBCC:20110625:J3
2011_J3,BFSA:LTBCC:20110625:0023,BFSA:LTBCC:20110625:J3
2011_J3,BFSA:LTBCC:20110625:0024,BFSA:LTBCC:20110625:J3
2011_J3,BFSA:LTBCC:20110625:0025,BFSA:LTBCC:20110625:J3
2011_J3,BFSA:LTBCC:20110625:0026,BFSA:LTBCC:20110625:J3
2011_J3,BFSA:LTBCC:20110625:0027,BFSA:LTBCC:20110625:J3
2011_J3,BFSA:LTBCC:20110625:0028,BFSA:LTBCC:20110625:J3
2011_J3,BFSA:LTBCC:20110625:0029,BFSA:LTBCC:20110625:J3
2011_E1,BFSA:LTBCC:20110625:0030,BFSA:LTBCC:20110625:E1
2011_E1,BFSA:LTBCC:20110625:0031,BFSA:LTBCC:20110625:E1
2011_E1,BFSA:LTBCC:20110625:0032,BFSA:LTBCC:20110625:E1
2011_E1,BFSA:LTBCC:20110625:0033,BFSA:LTBCC:20110625:E1
2011_E1,BFSA:LTBCC:20110625:0034,BFSA:LTBCC:20110625:E1
2011_E1,BFSA:LTBCC:20110625:0035,BFSA:LTBCC:20110625:E1
2011_E1,BFSA:LTBCC:20110625:0036,BFSA:LTBCC:20110625:E1
2011_E1,BFSA:LTBCC:20110625:0037,BFSA:LTBCC:20110625:E1
2011_E1,BFSA:LTBCC:20110625:0038,BFSA:LTBCC:20110625:E1
2011_E1,BFSA:LTBCC:20110625:0039,BFSA:LTBCC:20110625:E1
2011_E1,BFSA:LTBCC:20110625:0040,BFSA:LTBCC:20110625:E1
2011_E2,BFSA:LTBCC:20110625:0041,BFSA:LTBCC:20110625:E2
2011_E2,BFSA:LTBCC:20110625:0042,BFSA:LTBCC:20110625:E2
2011_E2,BFSA:LTBCC:20110625:0043,BFSA:LTBCC:20110625:E2
2011_D1,BFSA:LTBCC:20110625:0044,BFSA:LTBCC:20110625:D1
2011_D1,BFSA:LTBCC:20110625:0045,BFSA:LTBCC:20110625:D1
2011_D1,BFSA:LTBCC:20110625:0046,BFSA:LTBCC:20110625:D1
2011_D1,BFSA:LTBCC:20110625:0047,BFSA:LTBCC:20110625:D1
2011_D1,BFSA:LTBCC:20110625:0048,BFSA:LTBCC:20110625:D1
2011_D2,BFSA:LTBCC:20110625:0049,BFSA:LTBCC:20110625:D2
2011_D2,BFSA:LTBCC:20110625:0050,BFSA:LTBCC:20110625:D2
2011_D2,BFSA:LTBCC:20110625:0051,BFSA:LTBCC:20110625:D2
2011_D2,BFSA:LTBCC:20110625:0052,BFSA:LTBCC:20110625:D2
2011_D2,BFSA:LTBCC:20110625:0053,BFSA:LTBCC:20110625:D2
2011_D2,BFSA:LTBCC:20110625:0054,BFSA:LTBCC:20110625:D2
2011_D2,BFSA:LTBCC:20110625:0055,BFSA:LTBCC:20110625:D2
2011_D2,BFSA:LTBCC:20110625:0056,BFSA:LTBCC:20110625:D2
